customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,AverageDataUsage(GB),NumberofDevicesConnected,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerSatisfactionScore,AdjustedCustomerSatisfactionScore,ComplaintsReceived,ContractRenewalDate,DataOverageFees,CustomerLifetimeValue,LastContactDate,PromotionReceived,ContractRenewalYear,ContractRenewalMonth,ContractRenewalDay,LastContactYear,LastContactMonth,LastContactDay,ChurnRiskScore,MonthlyRevenue,TenureCategory,MonthlyChargesCategory,CustomerSatisfactionCategory,MonthlyCharges_DataUsage
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,338,9,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,77.45071229516849,84.96714153011233,2.3883284085912795,2023-10-26,24.98160475,14.925,2023-08-15,No,2023,10,26,2023,8,15,76.06,54.83160475,Short-term,Low,High,10089.300000000001
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,130,10,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,67.92603548243223,78.61735698828815,13.989876272909529,2024-03-25,0.0,968.15,2023-09-01,Yes,2024,3,25,2023,9,1,87.94,56.95,Mid-term,Medium,Medium,7403.5
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,528,8,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,79.71532807151038,55.49683186,29.638262624246643,2023-10-03,39.27975767,53.85,2023-09-07,No,2023,10,3,2023,9,7,52.08,93.12975767,Short-term,Medium,High,28432.8
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,192,8,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,92.84544784612038,86.47688538100692,7.224453860358251,2024-02-28,0.0,951.75,2023-07-20,No,2024,2,28,2023,7,20,130.62,42.3,Long-term,Medium,High,8121.599999999999
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,499,3,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,66.48769937914996,68.01430099266489,30.26010325,2023-10-20,16.24074561769746,70.7,2023-09-02,Yes,2023,10,20,2023,9,2,38.23,86.94074561769746,Short-term,High,Medium,35279.3
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,329,7,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,66.48794565,36.98412017196669,30.63586959597143,2023-10-23,16.239780813448107,398.6,2023-09-06,Yes,2023,10,23,2023,9,6,43.85,115.88978081344811,Short-term,High,Medium,32784.85
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,466,6,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,93.68819223261087,95.23029856408026,10.060848411414526,2023-10-21,12.32334448672798,980.1,2023-07-08,No,2023,10,21,2023,7,8,105.63,101.42334448672797,Mid-term,High,High,41520.6
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,523,4,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,81.51152093729362,77.65846625276664,9.535627493034736,2023-10-03,44.647045830997406,148.75,2023-08-07,No,2023,10,3,2023,8,7,81.98,74.3970458309974,Short-term,Low,High,15559.25
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,177,5,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,62.95788421097572,31.469815171024308,32.79116053439152,2023-10-29,0.0,1467.2,2023-09-06,Yes,2023,10,29,2023,9,6,58.17,104.8,Mid-term,High,Medium,18549.6
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,810,5,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,78.13840065378947,77.65863043,3.642257395538581,2024-03-02,38.32290311184182,1740.65,2023-07-01,No,2024,3,2,2023,7,1,136.5,94.47290311184182,Long-term,Medium,High,45481.5
