customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,AverageDataUsage(GB),NumberofDevicesConnected,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerSatisfactionScore,AdjustedCustomerSatisfactionScore,ComplaintsReceived,ContractRenewalDate,DataOverageFees,CustomerLifetimeValue,LastContactDate,PromotionReceived
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,338,9,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,77.45071229516849,84.96714153011233,2.3883284085912795,2023-10-26,24.9816047538945,14.925,2023-08-15,No
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,130,10,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,67.92603548243223,78.61735698828815,13.989876272909529,2024-03-25,0.0,968.1500000000001,2023-09-01,Yes
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,528,8,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,79.71532807151038,55.4968318629026,29.638262624246643,2023-10-03,39.2797576724562,53.85,2023-09-07,No
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,192,8,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,92.84544784612038,86.47688538100692,7.224453860358251,2024-02-28,0.0,951.7499999999999,2023-07-20,No
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,499,3,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,66.48769937914996,68.01430099266489,30.2601032521981,2023-10-20,16.24074561769746,70.7,2023-09-02,Yes
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,329,7,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,66.4879456457623,36.98412017196669,30.63586959597143,2023-10-23,16.239780813448107,398.6,2023-09-06,Yes
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,466,6,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,93.68819223261087,95.23029856408026,10.060848411414526,2023-10-21,12.32334448672798,980.0999999999999,2023-07-08,No
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,523,4,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,81.51152093729362,77.65846625276664,9.535627493034736,2023-10-03,44.647045830997406,148.75,2023-08-07,No
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,177,5,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,62.95788421097572,31.469815171024308,32.79116053439152,2023-10-29,0.0,1467.2,2023-09-06,Yes
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,810,5,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,78.13840065378947,77.6586304305082,3.642257395538581,2024-03-02,38.32290311184182,1740.6499999999999,2023-07-01,No
